iter	Passed	Remaining
0	143	143068
1	144	72212
2	146	48562
3	147	36771
4	149	29653
5	150	24939
6	152	21589
7	153	19084
8	155	17112
9	157	15555
10	158	14254
11	160	13177
12	161	12262
13	162	11468
14	164	10785
15	166	10221
16	168	9717
17	169	9247
18	171	8841
19	172	8461
20	174	8124
21	175	7813
22	177	7523
23	178	7262
24	180	7043
25	182	6818
26	183	6609
27	184	6411
28	185	6227
29	187	6055
30	188	5894
31	189	5740
32	191	5599
33	192	5469
34	193	5347
35	195	5244
36	197	5141
37	199	5041
38	200	4939
39	201	4845
40	203	4754
41	204	4668
42	206	4591
43	207	4511
44	209	4449
45	211	4387
46	213	4324
47	214	4257
48	216	4195
49	218	4152
50	220	4095
51	221	4038
52	223	3989
53	225	3942
54	226	3895
55	228	3847
56	229	3799
57	231	3751
58	232	3707
59	233	3665
60	235	3622
61	236	3583
62	238	3546
63	239	3508
64	241	3476
65	243	3442
66	244	3406
67	245	3370
68	247	3336
69	248	3303
70	249	3270
71	251	3239
72	252	3208
73	254	3182
74	255	3154
75	257	3130
76	259	3108
77	261	3085
78	262	3060
79	263	3034
80	265	3012
81	267	2990
82	268	2961
83	269	2941
84	271	2923
85	273	2904
86	274	2883
87	276	2863
88	277	2843
89	279	2823
90	280	2804
91	282	2785
92	284	2770
93	285	2751
94	286	2733
95	288	2717
96	290	2701
97	291	2684
98	293	2666
99	294	2648
100	295	2631
101	297	2616
102	298	2601
103	300	2585
104	301	2569
105	302	2553
106	304	2538
107	305	2523
108	306	2507
109	308	2494
110	309	2479
111	310	2465
112	312	2455
113	314	2443
114	315	2430
115	317	2415
116	318	2400
117	319	2388
118	320	2375
119	322	2364
120	323	2351
121	324	2338
122	326	2326
123	328	2317
124	329	2307
125	331	2297
126	332	2284
127	333	2272
128	335	2262
129	336	2251
130	337	2240
131	339	2230
132	340	2220
133	342	2212
134	343	2203
135	345	2194
136	346	2184
137	348	2173
138	349	2164
139	350	2154
140	352	2145
141	353	2133
142	354	2126
143	356	2117
144	357	2110
145	359	2102
146	361	2094
147	362	2086
148	363	2077
149	365	2069
150	366	2061
151	367	2052
152	369	2044
153	370	2036
154	372	2029
155	373	2022
156	375	2014
157	376	2006
158	377	1998
159	379	1991
160	380	1981
161	381	1973
162	382	1965
163	384	1957
164	385	1950
165	387	1944
166	388	1937
167	389	1930
168	391	1923
169	392	1916
170	393	1909
171	395	1902
172	396	1895
173	397	1888
174	399	1882
175	400	1875
176	402	1870
177	403	1863
178	404	1857
179	406	1849
180	407	1843
181	408	1837
182	410	1831
183	411	1825
184	412	1819
185	414	1813
186	415	1807
187	417	1802
188	419	1798
189	420	1793
190	422	1787
191	423	1782
192	424	1776
193	426	1770
194	427	1764
195	428	1758
196	430	1753
197	431	1748
198	433	1743
199	434	1738
200	436	1733
201	437	1727
202	438	1722
203	440	1717
